objectId,label
14206,Chiangrai Provincial Administrative Organization
14162,CHIC REPUBLIC PUBLIC COMPANY LIMITED
14207,Chinakorn Phuttapreecha
14163,CHOK VIWAT PROPERTY COMPANY LIMITED
14164,CHOKCHAI DAIRY FARM COMPANY LIMITED
14165,CHOKCHAIPIBUL COMPANY LIMITED
14166,CHRISTINA GREY GROUP COMPANY LIMITED
14208,Chula Book Center
14167,CITYSOFT INFOTECH COMPANY LIMITED
14168,"CIVIL MASTER CONSTRUCTION CO., LTD."
14169,"CK Boredpile Co., Ltd"
14170,CK POWER PUBLIC COMPANY LIMITED
14171,"CLEAR SILICON (THAILAND) CO., LTD."
14172,"CLEXPERT (THAILAND) CO.,LTD."
14173,CLICK COMMAND COMPANY LIMITED
14174,CLINIXIR COMPANY LIMITED
14175,CLOUD HM COMPANY LIMITED
14176,CLP BUSINESS MANAGEMENT COMPANY LIMITED
14177,"CLUB 21 (THAILAND) CO., LTD."
14178,CMSK COMPANY LIMITED
14179,COCA FOODS INTERNATIONAL COMPANY LIMITED
14180,COCA HOLDING INTERNATIONAL COMPANY LIMITED
14181,"CODEWORK TECH CO., LTD."
14182,CODIUM COMPANY LIMITED
26914,COFFEE WORKS COMPANY LIMITED
14183,"COM7 HOLDING CO., LTD."
14184,COMANCHE INTERNATIONAL PUBLIC COMPANY LIMITED
14185,COMMERZY COMPANY LIMITED
14209,Community Development Department
14186,COMO Metropolitan Bangkok
14187,"COMP TRADING CO., LTD."
14188,COMPLETE AUTO RUBBER MANUFATURING
26049,COMPUTER DATA SYSTEM COMPANY LIMITED
14189,"COMSERVE SIAM CO., LTD."
14190,CONCEPTION COMPANY LIMITED
14210,"Concrete Precision Unique Co.,Ltd."
14191,CONNEX BUSINESS ONLINE COMPANY LIMITED
14192,"CONSCIENCE X CO., LTD."
14193,CPA HOUSE ACCOUNTING COMPANY LIMITED
14194,CREATE PRO (THAILAND) COMPANY LIMITED
14195,CREATUS CORPORATION LIMITED
14196,CRM AND CLOUD CONSULTING COMPANY LIMITED
14197,"CSN RESEARCH CO.,LTD."
14198,CTC GLOBAL (THAILAND) COMPANY LIMITED
14199,"CTI LOGISTICS CO.,LTD."
14200,"CYBER ELITE CO., LTD."
14201,"CYBERSOFT TECHNOLOGY CO., LTD."
14202,CYBERTRACX COMPANY LIMITED
14203,CYBERTRON COMPANY LIMITED
14211,D FARM FOOD RETAIL COMPANY LIMITED
14212,"D O K SKIN CO., LTD."
14213,D. ENTERPRISES COMPANY LIMITED
14214,D.T.C. ENTERPRISE PUBLIC COMPANY LIMITED
14215,"DACHSER (THAILAND) CO., LTD."
14216,DAIICHI SANKYO (THAILAND) COMPANY LIMITED
14217,DAIKO GLOBAL MARKETING COMPANY LIMITED
14218,"DATABAKE CO., LTD."
14219,DATAXET LIMITED
14220,DB LINK COMPANY LIMITED
14221,DBS VICKERS SECURITIES (THAILAND) COMPANY LIMITED
14222,DCSS (THAILAND) COMPANY LIMITED
14223,DEBAC [THAILAND] COMPANY LIMITED
14224,"DECOPLAS INDUSTRY CO., LTD."
14225,DEESTONE CORPORATION PUBLIC COMPANY LIMITED
14226,"DEFT DEV CO., LTD."
14227,"DELSNET ENTERPRISE CO.,LTD."
14228,DELTA PAINT PUBLIC COMPANY LIMITED
14258,Department of Agricultural Extension
14262,Department of disease control
